session_id,fold_id
session_flat_ground_light_wind_d405-d409_078,3
session_flat_ground_light_wind_d205-d209_038,3
session_flat_ground_light_wind_d335-d339_064,4
session_flat_ground_light_wind_d185-d189_034,4
session_flat_ground_light_wind_d055-d059_008,3
session_flat_ground_light_wind_d295-d299_056,1
session_flat_ground_light_wind_d455-d459_088,3
session_flat_ground_light_wind_d040-d044_005,0
session_flat_ground_light_wind_d235-d239_044,4
session_flat_ground_light_wind_d035-d039_004,4
session_flat_ground_light_wind_d435-d439_084,4
session_flat_ground_light_wind_d230-d234_043,3
session_flat_ground_light_wind_d105-d109_018,3
session_flat_ground_light_wind_d480-d484_093,3
session_flat_ground_light_wind_d090-d094_015,0
session_flat_ground_light_wind_d050-d054_007,2
session_flat_ground_light_wind_d410-d414_079,4
session_flat_ground_light_wind_d370-d374_071,1
session_flat_ground_light_wind_d315-d319_060,0
session_flat_ground_light_wind_d325-d329_062,2
session_flat_ground_light_wind_d470-d474_091,1
session_flat_ground_light_wind_d395-d399_076,1
session_flat_ground_light_wind_d345-d349_066,1
session_flat_ground_light_wind_d385-d389_074,4
session_flat_ground_light_wind_d420-d424_081,1
session_flat_ground_light_wind_d095-d099_016,1
session_flat_ground_light_wind_d430-d434_083,3
session_flat_ground_light_wind_d125-d129_022,2
session_flat_ground_light_wind_d270-d274_051,1
session_flat_ground_light_wind_d460-d464_089,4
session_flat_ground_light_wind_d390-d394_075,0
session_flat_ground_light_wind_d380-d384_073,3
session_flat_ground_light_wind_d285-d289_054,4
session_flat_ground_light_wind_d240-d244_045,0
session_flat_ground_light_wind_d220-d224_041,1
session_flat_ground_light_wind_d210-d214_039,4
session_flat_ground_light_wind_d200-d204_037,2
session_flat_ground_light_wind_d150-d154_027,2
session_flat_ground_light_wind_d290-d294_055,0
session_flat_ground_light_wind_d170-d174_031,1
session_flat_ground_light_wind_d175-d179_032,2
session_flat_ground_light_wind_d130-d134_023,3
session_flat_ground_light_wind_d490-d494_095,0
session_flat_ground_light_wind_d450-d454_087,2
session_flat_ground_light_wind_d425-d429_082,2
session_flat_ground_light_wind_d180-d184_033,3
session_flat_ground_light_wind_d330-d334_063,3
session_flat_ground_light_wind_d030-d034_003,3
session_flat_ground_light_wind_d280-d284_053,3
session_flat_ground_light_wind_d115-d119_020,0
session_flat_ground_light_wind_d495-d500_096,1
session_flat_ground_light_wind_d355-d359_068,3
session_flat_ground_light_wind_d195-d199_036,1
session_flat_ground_light_wind_d165-d169_030,0
session_flat_ground_light_wind_d080-d084_013,3
session_flat_ground_light_wind_d100-d104_017,2
session_flat_ground_light_wind_d075-d079_012,2
session_flat_ground_light_wind_d020-d024_001,1
session_flat_ground_light_wind_d120-d124_021,1
session_flat_ground_light_wind_d070-d074_011,1
session_flat_ground_light_wind_d225-d229_042,2
session_flat_ground_light_wind_d465-d469_090,0
session_flat_ground_light_wind_d135-d139_024,4
session_flat_ground_light_wind_d305-d309_058,3
session_flat_ground_light_wind_d250-d254_047,2
session_flat_ground_light_wind_d215-d219_040,0
session_flat_ground_light_wind_d485-d489_094,4
session_flat_ground_light_wind_d475-d479_092,2
session_flat_ground_light_wind_d360-d364_069,4
session_flat_ground_light_wind_d340-d344_065,0
session_flat_ground_light_wind_d140-d144_025,0
session_flat_ground_light_wind_d060-d064_009,4
session_flat_ground_light_wind_d025-d029_002,2
session_flat_ground_light_wind_d045-d049_006,1
session_flat_ground_light_wind_d065-d069_010,0
session_flat_ground_light_wind_d415-d419_080,0
session_flat_ground_light_wind_d265-d269_050,0
session_flat_ground_light_wind_d260-d264_049,4
session_flat_ground_light_wind_d440-d444_085,0
session_flat_ground_light_wind_d300-d304_057,2
